original_row_index,Global_Planner,Controller,Footprint_type,Footprint,Inflation_radius,Inflation_cost_scale
630,SmacHybrid,DWB,1,"[[0.3,0.3], [-0.3,0.3], [-0.3,-1.3], [0.3, -1.3]]",0.2,20.0
222,NavFn,DWB,1,"[[0.3,0.3], [-0.3,0.3], [-0.3,-1.3], [0.3, -1.3]]",0.7,20.0
1059,SmacLattice,DWB,0,1.2,0.7,1.5
440,NavFn,MPPI,1,"[[0.3,0.3], [-0.3,0.3], [-0.3,-1.3], [0.3, -1.3]]",0.6,30.0
1474,Thetastar,DWB,0,1.2,0.3,0.5
1613,Thetastar,MPPI,0,0.275,0.6,10.0
724,SmacHybrid,MPPI,0,0.275,0.7,6.0
703,SmacHybrid,MPPI,0,0.275,0.4,25.0
1237,SmacLattice,MPPI,0,1.2,0.1,10.0
1526,Thetastar,DWB,1,"[[0.3,0.3], [-0.3,0.3], [-0.3,-1.3], [0.3, -1.3]]",0.2,20.0
787,SmacHybrid,MPPI,0,1.2,0.1,1.5
1116,SmacLattice,DWB,1,"[[0.3,0.3], [-0.3,0.3], [-0.3,-1.3], [0.3, -1.3]]",0.7,6.0
1782,Thetastar,MPPI,1,"[[0.3,0.3], [-0.3,0.3], [-0.3,-1.3], [0.3, -1.3]]",0.6,20.0
1538,Thetastar,DWB,1,"[[0.3,0.3], [-0.3,0.3], [-0.3,-1.3], [0.3, -1.3]]",0.4,0.5
1622,Thetastar,MPPI,0,0.275,0.7,20.0
944,SmacLattice,DWB,0,0.275,0.6,30.0
341,NavFn,MPPI,0,1.2,0.1,10.0
175,NavFn,DWB,1,"[[0.3,0.3], [-0.3,0.3], [-0.3,-1.3], [0.3, -1.3]]",0.1,25.0
1328,SmacLattice,MPPI,1,"[[0.3,0.3], [-0.3,0.3], [-0.3,-1.3], [0.3, -1.3]]",0.5,30.0
1467,Thetastar,DWB,0,1.2,0.2,1.5
1265,SmacLattice,MPPI,0,1.2,0.4,50.0
1199,SmacLattice,MPPI,0,0.7,0.3,25.0
205,NavFn,DWB,1,"[[0.3,0.3], [-0.3,0.3], [-0.3,-1.3], [0.3, -1.3]]",0.5,10.0
1380,Thetastar,DWB,0,0.275,0.5,6.0
1656,Thetastar,MPPI,0,0.7,0.4,30.0
214,NavFn,DWB,1,"[[0.3,0.3], [-0.3,0.3], [-0.3,-1.3], [0.3, -1.3]]",0.6,20.0
619,SmacHybrid,DWB,1,"[[0.3,0.3], [-0.3,0.3], [-0.3,-1.3], [0.3, -1.3]]",0.1,1.5
164,NavFn,DWB,0,1.2,0.7,6.0
696,SmacHybrid,MPPI,0,0.275,0.3,30.0
1003,SmacLattice,DWB,0,0.7,0.7,1.5
1081,SmacLattice,DWB,1,"[[0.3,0.3], [-0.3,0.3], [-0.3,-1.3], [0.3, -1.3]]",0.2,50.0
417,NavFn,MPPI,1,"[[0.3,0.3], [-0.3,0.3], [-0.3,-1.3], [0.3, -1.3]]",0.3,50.0
999,SmacLattice,DWB,0,0.7,0.6,25.0
368,NavFn,MPPI,0,1.2,0.4,30.0
1320,SmacLattice,MPPI,1,"[[0.3,0.3], [-0.3,0.3], [-0.3,-1.3], [0.3, -1.3]]",0.4,30.0
611,SmacHybrid,DWB,0,1.2,0.7,1.5
1358,Thetastar,DWB,0,0.275,0.2,20.0
586,SmacHybrid,DWB,0,1.2,0.4,0.5
1315,SmacLattice,MPPI,1,"[[0.3,0.3], [-0.3,0.3], [-0.3,-1.3], [0.3, -1.3]]",0.4,1.5
67,NavFn,DWB,0,0.7,0.2,1.5
1458,Thetastar,DWB,0,1.2,0.1,0.5
235,NavFn,MPPI,0,0.275,0.2,1.5
300,NavFn,MPPI,0,0.7,0.3,6.0
1449,Thetastar,DWB,0,0.7,0.6,50.0
1729,Thetastar,MPPI,0,1.2,0.6,50.0
480,SmacHybrid,DWB,0,0.275,0.4,30.0
1666,Thetastar,MPPI,0,0.7,0.6,0.5
424,NavFn,MPPI,1,"[[0.3,0.3], [-0.3,0.3], [-0.3,-1.3], [0.3, -1.3]]",0.4,30.0
881,SmacHybrid,MPPI,1,"[[0.3,0.3], [-0.3,0.3], [-0.3,-1.3], [0.3, -1.3]]",0.5,50.0
1331,SmacLattice,MPPI,1,"[[0.3,0.3], [-0.3,0.3], [-0.3,-1.3], [0.3, -1.3]]",0.6,1.5
434,NavFn,MPPI,1,"[[0.3,0.3], [-0.3,0.3], [-0.3,-1.3], [0.3, -1.3]]",0.6,0.5
577,SmacHybrid,DWB,0,1.2,0.2,50.0
1338,SmacLattice,MPPI,1,"[[0.3,0.3], [-0.3,0.3], [-0.3,-1.3], [0.3, -1.3]]",0.7,0.5
111,NavFn,DWB,0,0.7,0.7,25.0
532,SmacHybrid,DWB,0,0.7,0.4,6.0
307,NavFn,MPPI,0,0.7,0.4,1.5
31,NavFn,DWB,0,0.275,0.4,25.0
545,SmacHybrid,DWB,0,0.7,0.5,50.0
622,SmacHybrid,DWB,1,"[[0.3,0.3], [-0.3,0.3], [-0.3,-1.3], [0.3, -1.3]]",0.1,20.0
72,NavFn,DWB,0,0.7,0.2,30.0
1589,Thetastar,MPPI,0,0.275,0.3,10.0
684,SmacHybrid,MPPI,0,0.275,0.2,6.0
834,SmacHybrid,MPPI,0,1.2,0.7,0.5
410,NavFn,MPPI,1,"[[0.3,0.3], [-0.3,0.3], [-0.3,-1.3], [0.3, -1.3]]",0.3,0.5
1200,SmacLattice,MPPI,0,0.7,0.3,30.0
1446,Thetastar,DWB,0,0.7,0.6,20.0
970,SmacLattice,DWB,0,0.7,0.3,0.5
1678,Thetastar,MPPI,0,0.7,0.7,20.0
1566,Thetastar,DWB,1,"[[0.3,0.3], [-0.3,0.3], [-0.3,-1.3], [0.3, -1.3]]",0.7,20.0
1781,Thetastar,MPPI,1,"[[0.3,0.3], [-0.3,0.3], [-0.3,-1.3], [0.3, -1.3]]",0.6,10.0
253,NavFn,MPPI,0,0.275,0.4,10.0
747,SmacHybrid,MPPI,0,0.7,0.3,1.5
569,SmacHybrid,DWB,0,1.2,0.1,50.0
808,SmacHybrid,MPPI,0,1.2,0.3,30.0
546,SmacHybrid,DWB,0,0.7,0.6,0.5
1713,Thetastar,MPPI,0,1.2,0.4,50.0
1459,Thetastar,DWB,0,1.2,0.1,1.5
239,NavFn,MPPI,0,0.275,0.2,25.0
529,SmacHybrid,DWB,0,0.7,0.3,50.0
1626,Thetastar,MPPI,0,0.7,0.1,0.5
540,SmacHybrid,DWB,0,0.7,0.5,6.0
1604,Thetastar,MPPI,0,0.275,0.5,6.0
1488,Thetastar,DWB,0,1.2,0.4,30.0
25,NavFn,DWB,0,0.275,0.3,50.0
334,NavFn,MPPI,0,0.7,0.7,20.0
466,SmacHybrid,DWB,0,0.275,0.3,0.5
1553,Thetastar,DWB,1,"[[0.3,0.3], [-0.3,0.3], [-0.3,-1.3], [0.3, -1.3]]",0.5,50.0
272,NavFn,MPPI,0,0.275,0.6,30.0
369,NavFn,MPPI,0,1.2,0.4,50.0
1783,Thetastar,MPPI,1,"[[0.3,0.3], [-0.3,0.3], [-0.3,-1.3], [0.3, -1.3]]",0.6,25.0
679,SmacHybrid,MPPI,0,0.275,0.1,25.0
1191,SmacLattice,MPPI,0,0.7,0.2,25.0
1654,Thetastar,MPPI,0,0.7,0.4,20.0
318,NavFn,MPPI,0,0.7,0.5,20.0
1275,SmacLattice,MPPI,0,1.2,0.6,1.5
400,NavFn,MPPI,1,"[[0.3,0.3], [-0.3,0.3], [-0.3,-1.3], [0.3, -1.3]]",0.1,30.0
1786,Thetastar,MPPI,1,"[[0.3,0.3], [-0.3,0.3], [-0.3,-1.3], [0.3, -1.3]]",0.7,0.5
986,SmacLattice,DWB,0,0.7,0.5,0.5
113,NavFn,DWB,0,0.7,0.7,50.0
1330,SmacLattice,MPPI,1,"[[0.3,0.3], [-0.3,0.3], [-0.3,-1.3], [0.3, -1.3]]",0.6,0.5
241,NavFn,MPPI,0,0.275,0.2,50.0
